post_id,text,views,likes
168305,"Правила жизни Джеймса Бонда:

1. Платит женщина. Всегда. 
2. Твои проблемы — это ее проблемы. 
3. Твоя истерика — тоже ее проблема. 
4. Она должна уметь драться за тебя. 
5. Если красота и спасет мир, то вся надежда только на меня.",141648,1185
168842,"Нарисуем твою жену на холсте. Ты нам даешь ее фото - мы рисуем!

Закажи своей любимой женщине роскошный портрет, чтобы она увидела, какой красивой ты её видишь!

Сегодня дарим 2 картину к заказу, чтобы порадовать еще и маму, сестру или дочку! Чтобы порадовать любимых, не нужен повод.

Переходи, что бы рассчитать стоимость за 1 минуту!
https://vk.me/mnogokartinrf?ref=VK3",5056,2
168822,"Сильный мужчина никогда не поднимет руку на женщину. Он ударит по её кошельку!

Арнольд Шварцнеггер  (с).",15869,261
168787,"Девушки, если вы оказались в черном списке
у вашего парня — еще не все потеряно. При
переводе денег на его карту можно оставить
сообщение!",21978,619
168779,,14860,342
168757,Мужчина молодеет до двадцати семи. Потом он чертовски хорошеет!,23317,790
168745,Дуэйн Джонсон базу говорит вообще-то,13225,226
168740,Личный кaнал админа где он выдаёт базу. Смотри kommeнтаpuu!,13218,73
168732,"Когда в раньше меня спрашивали, что я больше всего ценю в женщинах, я нес всякий бред — женственность, красоту, доброту, сексуальность.

А сегодня ответил бы — умение брать ответственность за мужчину, защищать его и обеспечивать .",16425,597
168723,,10340,250
168720,,9867,590
168713,Сaмыe лучшиe oтнoшeния – этo кoгдa мужчине от женщины ничeгo нe нaдo. Сoвceм ничeгo...кpoмe денег конечно!,8924,147
168690,"Мужчина ДОЛЖЕН быть любимым, счастливым и красивым)

Все. Больше он ничего не должен!",25811,662
168674,"Женщины, никогда не экономьте деньги на своем мужчине — иначе он будет экономить чувства к вам...",26669,764
168655,"Девушки, жизненно?",41546,386
168654,"Для меня главное, чтобы моя будущая жена была хорошим человеком. А чем она там торгует...нефтью или газом, мне без разницы!",20231,707
168625,,34201,381
168609,"Женщины, запомните: любить мужчину, как и кота, можно любить только на его условиях!",12789,665
168601,"Настоящая женщина — эта та, которую ты даже не просил, а она просто взяла и решила все твои проблемы!",27030,729
168568,,17201,320
168554,"Размещу ваше фото в группе, подберу крутую цитату. Цена – 1000 руб. Пишите в сообщения сообщества. Заранее!",9302,36
168537,"— Ты изменился, чтобы я вернулась?
— Нафиг надо. Я изменился, чтобы ты
охренела!",25583,688
168517,"Я из тех мужчин, которые решают проблемы одним звонком. И этот звонок моей обеспеченной женщине!",28399,763
168476,"У настоящего мужчины должны быть духи из
Франции, часы из Швейцарии, машина из Японии... и женщина, которая за всё это платит!",31926,715
168465,"Девочка: пытается впечатлить дешёвой романтикой, ресторанами и цветами. 
Женщина: сразу дарит мужчине машину Чувствуете разницу?",21242,653
168461,"Из всех языков админ выбрал язык фактов и базы. Админ создал канaл, где выкладывает новый, крутой контент. Скоро канал может стать закрытым.

Успей залететь, пока есть возможность!

Вся информация в комментариях к этой записи.",10453,75
168430,"Мужской измены не существует.

Существует либо месть за женское предательство, либо новая любовь.",52101,1028
168411,,9667,56
168409,В отношениях важно равноправие: женщина - работает. Мужчина — просто красивый!,21460,682
168405,"Женщины, запомните: мужчине для счастья нужно всего несколько вещей...но каждый день новых!",23387,643
168402,"Для мужчины нет слова: «бросила» 
Есть: «потеряла», «лишилась» «недооценила»...но только не «бросила»!",22426,709
168397,,13157,235
168376,,11830,75
168370,"Размещу ваше фото в сообществе, подберу крутую цитату. Цена — 1000 руб. Пишите в сообщения сообщества. Заранее!",8276,53
168362,"Мужчины, они тaкие...

Сегодня ты не подaрила ему цветы, завтра не сводила в ресторан...а через неделю он уже не твой мужчинa)",28422,593
168344,"Если женщина не заметила твою новую прическу, то нужно менять не прическу, а женщину!",18866,661
168340,"Девушки, если вы оказались в черном списке у вашего парня — еще не все потеряно.
При переводе денег на его карту можно оставить сообщение!",22607,703
168335,"Мужчины созданы для комплиментов ухаживаний и дорогих курортов. А женщины должны работать. Ничего не поделаешь...судьба такая, девчат)",23065,645
168333,"Админ завел личный кaнaл, где выкладывает эксклюзив и БАЗУ для избранных. Скоро канал может стать закрытым.

Успей залететь, пока есть возможность!

Вся информация в комментариях к этой записи.",9725,37
168303,,10942,52
